Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
2620,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2713,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2731,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2800,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2821,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2889,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2904,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2905,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2909,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2939,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2947,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2948,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
2967,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2969,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3023,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3099,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3282,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3283,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
3366,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3369,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3388,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3391,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3392,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
