case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
390,0.469589609,0.429506836,0.54789763,0.502179614,0.483409485,1.031245824,0.447062014,0.545784684,0.871232955,0.748261403,0.701073245,0.64496125,0.492746104,0.681503439,0.299273021,0.420888173,0.65005837,0.955512512,0.535936027,0.570784013,NA
395,0.448636403,0.420382236,0.439646386,0.478005839,0.456915558,1.32839903,0.444530931,0.51288223,0.871861295,0.69000278,0.901198317,0.580987923,0.48229016,0.467699364,0.349941271,0.412519418,0.664330487,0.962714494,0.499643833,0.544490114,NA
396,0.520166373,0.480849481,0.501141491,0.55188081,0.533640658,1.259392521,0.498114674,0.594011655,0.896852499,0.734801327,0.830361024,0.639636179,0.542722108,0.563597703,0.33663593,0.472345492,0.686457175,1.04751613,0.584523587,0.618029864,NA
399,0.40466475,0.382491498,0.392617381,0.427234075,0.411076496,0.764099553,0.401470892,0.453398143,0.662459088,0.614742715,0.665548156,0.547069866,0.430485477,0.513372586,0.308371817,0.376240767,0.577876567,0.780061967,0.443548423,0.476509964,NA
402,0.314996824,0.285130724,0.328364564,0.337105362,0.33068893,0.783304394,0.296832418,0.370358218,0.489153834,0.509780042,0.758618934,0.308834118,0.337105362,0.25045331,0.321318991,0.279402919,0.474679305,0.764827212,0.363553914,0.39476,NA
423,0.414187666,0.448806473,0.49178715,0.462215023,0.431287312,1.217594981,0.401643661,0.499058874,0.795662624,0.62996779,0.755396883,0.555582976,0.453250638,0.529385836,0.336567578,0.357759206,0.589984459,0.940029916,0.47584899,0.542291523,NA
426,0.3458348,0.364067664,0.337516339,0.370236196,0.339853424,0.715541088,0.322218788,0.388990549,0.607356412,0.574941184,0.591744688,0.395976608,0.370236196,0.465148412,0.257486221,0.293937299,0.449599826,0.740142138,0.373336563,0.408079314,NA
466,0.309638368,0.309638368,0.318624636,0.331894477,0.338446729,0.834328502,0.29439022,0.379533195,0.612681772,0.511152584,0.794066219,0.347407624,0.328650453,0.276028462,0.344430837,0.303473993,0.492748259,0.780905344,0.338446729,0.386670953,NA
474,0.136873087,0.126261246,0.099223093,0.148225513,0.14003987,0.464673928,0.135312413,0.162139858,0.288899867,0.132252045,0.246505919,0.168034048,0.149909304,0.094116092,0.081780554,0.123361348,0.165554741,0.476638393,0.156802383,0.175162651,NA
483,0.395108454,0.366941984,0.386304692,0.417518585,0.40466475,0.756846046,0.379361128,0.446827125,0.650485636,0.59890881,0.650615588,0.523961125,0.411076496,0.496782844,0.280802171,0.360796893,0.564873497,0.770816968,0.440274632,0.463284484,NA
484,0.468833425,0.477214723,0.460056687,0.498528295,0.468833425,1.232329491,0.452324015,0.533661158,0.81386277,0.744113575,0.794817216,0.447927563,0.498528295,0.464867328,0.380229047,0.420345776,0.583881826,1.0056004,0.524762499,0.565385345,NA
637,0.072768211,0.063074041,0.0812161,0.081238587,0.082519632,0.170847895,0.066163561,0.09786793,0.150682144,0.046009655,0.369433702,0.179227238,0.081238587,0.060521081,0.043251295,0.068300765,0.119814298,0.32589897,0.089204324,0.105652771,NA
638,0.140138598,0.123403971,0.220101247,0.154528207,0.156687147,0.259044312,0.128770282,0.182233068,0.126414006,0.140372067,0.717833866,0.195722067,0.154528207,0.085233815,0.139788052,0.132464025,0.253697441,0.467269362,0.167883772,0.194983431,NA
641,0.132215959,0.11763924,0.142326776,0.144699272,0.146569206,0.479584067,0.122322029,0.168657858,0.271536143,0.084154581,0.535226882,0.24395861,0.144699272,0.07979116,0.066102991,0.125540377,0.226190563,0.487340038,0.156257625,0.179668962,NA
644,0.191940146,0.172469955,0.209405868,0.208211043,0.2106166,0.462357673,0.178780384,0.238416089,0.478551407,0.226828639,0.464256195,0.327560388,0.208211043,0.302111813,0.123313604,0.183086803,0.298053604,0.578285877,0.222949021,0.25185693,NA
645,0.141105863,0.12598826,0.154832215,0.153888165,0.155789593,0.240030785,0.130866941,0.17798408,0.270818901,0.133846244,0.318296584,0.151524148,0.153888165,0.146325392,0.088660476,0.134207846,0.150747264,0.502371318,0.165585096,0.188862897,NA
650,0.389641592,0.361631851,0.374642548,0.411952821,0.415172224,0.792115101,0.370874903,0.451006269,0.672103393,0.59993743,0.663815605,0.538084621,0.411952821,0.473223411,0.306316271,0.37709038,0.57227334,0.779917068,0.43137287,0.467487471,NA
