Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
7494,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,NA
7950,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
8024,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
8026,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
8027,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
8028,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
8042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8051,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
8072,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
8076,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
8078,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
8079,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
